"time","row","total_rows","type","value"
1,"66","200","Prevalence",0.147268622253406
2,"66","200","Prevalence",0.147268622253406
3,"66","200","Prevalence",0.147268622253406
4,"66","200","Prevalence",0.147268622253406
5,"66","200","Prevalence",0.147268622253406
6,"66","200","Prevalence",0.147268622253406
7,"66","200","Prevalence",0.147268622253406
8,"66","200","Prevalence",0.147268622253406
9,"66","200","Prevalence",0.147268622253406
10,"66","200","Prevalence",0.147268622253406
11,"66","200","Prevalence",0.147268622253406
12,"66","200","Prevalence",0.147268622253406
13,"66","200","Prevalence",0.147268622253406
14,"66","200","Prevalence",0.147268622253406
15,"66","200","Prevalence",0.147268622253406
16,"66","200","Prevalence",0.147268622253406
17,"66","200","Prevalence",0.147268622253406
18,"66","200","Prevalence",0.147268622253406
19,"66","200","Prevalence",0.147268622253406
20,"66","200","Prevalence",0.147268622253406
21,"66","200","Prevalence",0.147268622253406
22,"66","200","Prevalence",0.147268622253406
23,"66","200","Prevalence",0.147268622253404
24,"66","200","Prevalence",0.147268191389936
25,"66","200","Prevalence",0.147263515673177
26,"66","200","Prevalence",0.147248645294678
27,"66","200","Prevalence",0.147218223956544
28,"66","200","Prevalence",0.147167940484171
29,"66","200","Prevalence",0.147094462895568
30,"66","200","Prevalence",0.146995304776552
31,"66","200","Prevalence",0.146868696259163
32,"66","200","Prevalence",0.146713469818574
33,"66","200","Prevalence",0.146528960986131
34,"66","200","Prevalence",0.146314922532194
35,"66","200","Prevalence",0.146071450547878
36,"66","200","Prevalence",0.145798920965221
37,"66","200","Prevalence",0.145497935199941
38,"66","200","Prevalence",0.145169273744398
39,"66","200","Prevalence",0.144813856672216
40,"66","200","Prevalence",0.14443271013918
41,"66","200","Prevalence",0.144026938076122
42,"66","200","Prevalence",0.143597698369309
43,"66","200","Prevalence",0.143146182912784
44,"66","200","Prevalence",0.142673600995711
45,"66","200","Prevalence",0.142181165557349
46,"66","200","Prevalence",0.14167008190317
47,"66","200","Prevalence",0.141141538529269
48,"66","200","Prevalence",0.140596699748858
49,"66","200","Prevalence",0.14003669985557
50,"66","200","Prevalence",0.139462638593893
51,"66","200","Prevalence",0.138875577738058
52,"66","200","Prevalence",0.138276538607684
53,"66","200","Prevalence",0.137666500371965
54,"66","200","Prevalence",0.137046399014547
55,"66","200","Prevalence",0.136417126849029
56,"66","200","Prevalence",0.135779532490284
57,"66","200","Prevalence",0.135134421200237
58,"66","200","Prevalence",0.134482555538284
59,"66","200","Prevalence",0.133824656253214
60,"66","200","Prevalence",0.133161403333607
61,"66","200","Prevalence",0.132493437166883
62,"66","200","Prevalence",0.131821359834981
63,"66","200","Prevalence",0.131145736534217
64,"66","200","Prevalence",0.130467097080106
65,"66","200","Prevalence",0.129785937461477
66,"66","200","Prevalence",0.129102721415946
67,"66","200","Prevalence",0.128417882005402
68,"66","200","Prevalence",0.127731823175425
69,"66","200","Prevalence",0.127044921286525
70,"66","200","Prevalence",0.126357526608197
71,"66","200","Prevalence",0.125669964769152
72,"66","200","Prevalence",0.124982538159097
73,"66","200","Prevalence",0.124295527278674
74,"66","200","Prevalence",0.123609192035576
75,"66","200","Prevalence",0.122923772985489
76,"66","200","Prevalence",0.122239492517494
77,"66","200","Prevalence",0.121556555983836
78,"66","200","Prevalence",0.120875152774751
79,"66","200","Prevalence",0.120195457339076
80,"66","200","Prevalence",0.119517630151764
81,"66","200","Prevalence",0.118841818629844
82,"66","200","Prevalence",0.118168157998162
83,"66","200","Prevalence",0.117496772106655
84,"66","200","Prevalence",0.116827774200727
85,"66","200","Prevalence",0.116161267646979
86,"66","200","Prevalence",0.115497346615611
87,"66","200","Prevalence",0.114836096721642
88,"66","200","Prevalence",0.114177595626896
89,"66","200","Prevalence",0.113521913604303
90,"66","200","Prevalence",0.112869114066704
91,"66","200","Prevalence",0.112219254061912
92,"66","200","Prevalence",0.111572384735586
93,"66","200","Prevalence",0.110928551763769
94,"66","200","Prevalence",0.110287795756819
95,"66","200","Prevalence",0.109650152636293
96,"66","200","Prevalence",0.109015653986419
97,"66","200","Prevalence",0.108384327381556
98,"66","200","Prevalence",0.107756196691038
99,"66","200","Prevalence",0.107131282362904
100,"66","200","Prevalence",0.106509601687791
101,"66","200","Prevalence",0.105891169044222
102,"66","200","Prevalence",0.105275996126482
103,"66","200","Prevalence",0.10466409215619
104,"66","200","Prevalence",0.104055464078643
105,"66","200","Prevalence",0.103450116744934
106,"66","200","Prevalence",0.102848053080786
107,"66","200","Prevalence",0.102249274243012
108,"66","200","Prevalence",0.101653779764425
109,"66","200","Prevalence",0.101061567688004
110,"66","200","Prevalence",0.100472634691072
111,"66","200","Prevalence",0.0998869762001585
112,"66","200","Prevalence",0.0993045864972212
113,"66","200","Prevalence",0.0987254588178318
114,"66","200","Prevalence",0.0981495854418948
115,"66","200","Prevalence",0.0975769577774405
116,"66","200","Prevalence",0.0970075664379907
117,"66","200","Prevalence",0.0964414013139638
118,"66","200","Prevalence",0.0958784516385542
119,"66","200","Prevalence",0.0953187060484939
120,"66","200","Prevalence",0.0947621526400715
121,"66","200","Prevalence",0.0942087790207629
122,"66","200","Prevalence",0.0936585723568027
123,"66","200","Prevalence",0.0931115194169919
124,"66","200","Prevalence",0.0925676066130344
125,"66","200","Prevalence",0.0920268200366611
126,"66","200","Prevalence",0.0914891454937852
127,"66","200","Prevalence",0.090954568535916
128,"66","200","Prevalence",0.0904230744890391
129,"66","200","Prevalence",0.0898946484801603
130,"66","200","Prevalence",0.0893692754616893
131,"66","200","Prevalence",0.0888469402338329
132,"66","200","Prevalence",0.0883276274651569
133,"66","200","Prevalence",0.0878113217114478
134,"66","200","Prevalence",0.0872980074330157
135,"66","200","Prevalence",0.086787669010559
136,"66","200","Prevalence",0.0862802907597028
137,"66","200","Prevalence",0.0857758569443171
138,"66","200","Prevalence",0.0852743517887096
139,"66","200","Prevalence",0.0847757594887839
140,"66","200","Prevalence",0.0842800642222438
141,"66","200","Prevalence",0.0837872501579197
142,"66","200","Prevalence",0.0832973014642937
143,"66","200","Prevalence",0.0828102023172771
144,"66","200","Prevalence",0.0823259369073071
145,"66","200","Prevalence",0.0818444894458156
146,"66","200","Prevalence",0.0813658441711226
147,"66","200","Prevalence",0.0808899853537989
148,"66","200","Prevalence",0.0804168973015423
149,"66","200","Prevalence",0.0799465643636069
150,"66","200","Prevalence",0.079478970934821
151,"66","200","Prevalence",0.0790141014592274
152,"66","200","Prevalence",0.078551940433381
153,"66","200","Prevalence",0.0780924724093278
154,"66","200","Prevalence",0.0776356819972897
155,"66","200","Prevalence",0.0771815538680843
156,"66","200","Prevalence",0.0767300727552996
157,"66","200","Prevalence",0.0762812234572435
158,"66","200","Prevalence",0.0758349908386883
159,"66","200","Prevalence",0.0753913598324253
160,"66","200","Prevalence",0.0749503154406481
161,"66","200","Prevalence",0.0745118427361749
162,"66","200","Prevalence",0.0740759268635292
163,"66","200","Prevalence",0.0736425530398885
164,"66","200","Prevalence",0.0732117065559077
